t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
4.000000000000000222e-01,1.182276968476236645e+00,1.182276977707185983e+00,1.182277891571108963e+00,1.182369277068969549e+00,1.191498734958755357e+00,1.624252722034650320e+00
4.100000000000000311e-01,1.181579123563803568e+00,1.181579132776406249e+00,1.181580044824114717e+00,1.181671248693124454e+00,1.190782471937870568e+00,1.626033021599123884e+00
4.199999999999999845e-01,1.180826937149268785e+00,1.180826946339553096e+00,1.180827856177629975e+00,1.180918839069804438e+00,1.190007829294679853e+00,1.627534140157484988e+00
4.299999999999999933e-01,1.180003644051178524e+00,1.180003653214273918e+00,1.180004560360635057e+00,1.180095274060478205e+00,1.189157139110916361e+00,1.628745906811325250e+00
4.400000000000000022e-01,1.179087042795927021e+00,1.179087051925845619e+00,1.179087955787515130e+00,1.179178340989556872e+00,1.188207071333326814e+00,1.629656726200071404e+00
4.500000000000000111e-01,1.178047509279980254e+00,1.178047518369322422e+00,1.178048418214131532e+00,1.178138401692448989e+00,1.187126585699646242e+00,1.630253171808126122e+00
4.600000000000000200e-01,1.176845203163471965e+00,1.176845212203070812e+00,1.176846107123295848e+00,1.176935598095471214e+00,1.185874056467737692e+00,1.630519536481155995e+00
4.700000000000000289e-01,1.175426120512136796e+00,1.175426129490574789e+00,1.175427018355954978e+00,1.175515903784329907e+00,1.184393217532388132e+00,1.630437335357660666e+00
4.799999999999999822e-01,1.173716501417184865e+00,1.173716510320185202e+00,1.173717391717100433e+00,1.173805530226545102e+00,1.182607430505561830e+00,1.629984756562506742e+00
4.899999999999999911e-01,1.171614915107664689e+00,1.171614923917294382e+00,1.171615796070590187e+00,1.171703010130699107e+00,1.180411595653832135e+00,1.629136054647113419e+00
5.000000000000000000e-01,1.168981153547596019e+00,1.168981162241280458e+00,1.168982022916035701e+00,1.169068089018275414e+00,1.177660846176267651e+00,1.627860888915629634e+00
5.100000000000000089e-01,1.165620996358889938e+00,1.165621004908230063e+00,1.165621851292781397e+00,1.165706488253881012e+00,1.174155131317141443e+00,1.626123603735626588e+00
5.200000000000000178e-01,1.161266329942388431e+00,1.161266338311913504e+00,1.161267166894810909e+00,1.161350023554650779e+00,1.169619289668258455e+00,1.623882458918818328e+00
5.300000000000000266e-01,1.155551853500380588e+00,1.155551861646638478e+00,1.155552668125966687e+00,1.155633314285107183e+00,1.163680110095216769e+00,1.621088815140431461e+00
5.400000000000000355e-01,1.147994182328743173e+00,1.147994190200562592e+00,1.147994969510534480e+00,1.148072898598591518e+00,1.155846660060482201e+00,1.617686292402449766e+00
5.500000000000000444e-01,1.137987887436824552e+00,1.137987894978186754e+00,1.137988641572931670e+00,1.138063299040400711e+00,1.145508957467733957e+00,1.613609916127073829e+00
5.600000000000000533e-01,1.124843058886384251e+00,1.124843066043251572e+00,1.124843774572962030e+00,1.124914625516237443e+00,1.131979470148373856e+00,1.608785276714731483e+00
5.700000000000000622e-01,1.107886302205752127e+00,1.107886308936315345e+00,1.107886975261955342e+00,1.107953605889725690e+00,1.114597381491775341e+00,1.603127728785508577e+00
5.799999999999999600e-01,1.086611427485730363e+00,1.086611433769836266e+00,1.086612055896245543e+00,1.086674266813420386e+00,1.092878232582627618e+00,1.596541662013633012e+00
5.899999999999999689e-01,1.060809896224912396e+00,1.060809902066826682e+00,1.060810480416331192e+00,1.060868313949193453e+00,1.066637623591215389e+00,1.588919873812540073e+00
5.999999999999999778e-01,1.030601934797476860e+00,1.030601940220366775e+00,1.030602477086493440e+00,1.030656162634941309e+00,1.036014213204653922e+00,1.580143071171100200e+00
6.099999999999999867e-01,9.963594704189837614e-01,9.963594754554133681e-01,9.963599740620281420e-01,9.964098340181801738e-01,1.001388911186159358e+00,1.570079525431641088e+00
6.199999999999999956e-01,9.585836800237146349e-01,9.585836847074330480e-01,9.585841483956805131e-01,9.586305168545417033e-01,9.632638311185455215e-01,1.558584888157996673e+00
6.300000000000000044e-01,9.178011960079672793e-01,9.178012003691462528e-01,9.178016321260150656e-01,9.178448077565325436e-01,9.221619270902988719e-01,1.545502164157322333e+00
6.400000000000000133e-01,8.745024541390143957e-01,8.745024582024163440e-01,8.745028604794055083e-01,8.745430883999582017e-01,8.785682102885482569e-01,1.530661813410965966e+00
6.500000000000000222e-01,8.291155847736864093e-01,8.291155885585015373e-01,8.291159632554077064e-01,8.291534334162051767e-01,8.329052593846617558e-01,1.513881933735920615e+00
6.600000000000000311e-01,7.820013752945115248e-01,7.820013788148918454e-01,7.820017273327817264e-01,7.820365798140953562e-01,7.855288554210795304e-01,1.494968444713172806e+00
6.700000000000000400e-01,7.334579794843862910e-01,7.334579827501566118e-01,7.334583060616891581e-01,7.334906381060773972e-01,7.367328552700765920e-01,1.473715170576655131e+00
6.800000000000000488e-01,6.837288984307845485e-01,6.837289014481058302e-01,6.837292001631719573e-01,6.837590727389830647e-01,6.867571217745621626e-01,1.449903694605803040e+00
6.900000000000000577e-01,6.330111830725999589e-01,6.330111858445155448e-01,6.330114602644498767e-01,6.330389034865195885e-01,6.357956106842030941e-01,1.423302841872347901e+00
7.000000000000000666e-01,5.814626885647320442e-01,5.814626910915997593e-01,5.814629412518056428e-01,5.814879586436479952e-01,5.840035089526487422e-01,1.393667648415610305e+00
7.099999999999999645e-01,5.292081035203032302e-01,5.292081058001301130e-01,5.292083315032949375e-01,5.292309033183697498e-01,5.315031701316976775e-01,1.360737703914036256e+00
7.199999999999999734e-01,4.763438496550094214e-01,4.763438516837189551e-01,4.763440525263036851e-01,4.763641383968672538e-01,4.783889471983960306e-01,1.324234839720538792e+00
7.299999999999999822e-01,4.229420735692660527e-01,4.229420753409242617e-01,4.229422507354322347e-01,4.229597918993422412e-01,4.247311426142274526e-01,1.283860327755545594e+00
7.399999999999999911e-01,3.690539712853718179e-01,3.690539727923895508e-01,3.690541219875190793e-01,3.690690433035491713e-01,3.705793121871056583e-01,1.239292152056551632e+00
7.500000000000000000e-01,3.147126622254585726e-01,3.147126634587916749e-01,3.147127855591387302e-01,3.147249974773522752e-01,3.159651349778492824e-01,1.190183695614238868e+00
7.600000000000000089e-01,2.599357906503967919e-01,2.599357915997522195e-01,2.599358855863002637e-01,2.599452861971419115e-01,2.609050229444301872e-01,1.136166638912003091e+00
7.700000000000000178e-01,2.047279901700116422e-01,2.047279908240706714e-01,2.047280555762938103e-01,2.047345328209833060e-01,2.054026017917480740e-01,1.076863350717916390e+00
7.800000000000000266e-01,1.490833050533658666e-01,1.490833054000295643e-01,1.490833397200432842e-01,1.490867738057820580e-01,1.494511528227946418e-01,1.011917624418487316e+00
7.900000000000000355e-01,9.298762235026225564e-02,9.298762237691327037e-02,9.298762501574020511e-02,9.298789104221638624e-02,9.303606608276404621e-02,9.410557380017126050e-01
8.000000000000000444e-01,3.642113275350500334e-02,3.642113244729583421e-02,3.642110213296811949e-02,3.641807290292864430e-02,3.613731935353603486e-02,8.641867357432123642e-01
8.100000000000000533e-01,-2.063919533975577814e-02,-2.063919599160890517e-02,-2.063926052465947514e-02,-2.064571156674899211e-02,-2.126803539180488478e-02,7.815304242393781298e-01
8.200000000000000622e-01,-7.821716770493392090e-02,-7.821716871484629685e-02,-7.821726869589407105e-02,-7.822726447421146645e-02,-7.920341928812657528e-02,6.937194268401130071e-01
8.300000000000000711e-01,-1.363350019827006543e-01,-1.363350033624268764e-01,-1.363351399549309617e-01,-1.363487968106692483e-01,-1.376903686259303150e-01,6.017909401661462043e-01
8.399999999999999689e-01,-1.950111197662941498e-01,-1.950111215266351339e-01,-1.950112958000054242e-01,-1.950287206678187335e-01,-1.967463402510878367e-01,5.070293387838517019e-01
8.499999999999999778e-01,-2.542581606553380169e-01,-2.542581628058814269e-01,-2.542583757092965469e-01,-2.542796634994992644e-01,-2.563827465543244699e-01,4.107321232026428515e-01
8.599999999999999867e-01,-3.140812776647822213e-01,-3.140812802136636606e-01,-3.140815325524977664e-01,-3.141067637939325974e-01,-3.166032770545845199e-01,3.140237774031837126e-01
8.699999999999999956e-01,-3.744767539230868247e-01,-3.744767568767785604e-01,-3.744770492918386151e-01,-3.745062880555235507e-01,-3.774025429198998305e-01,2.177788940937844808e-01
8.800000000000000044e-01,-4.354309560422699454e-01,-4.354309594053988874e-01,-4.354312923547277170e-01,-4.354645844344328109e-01,-4.387650552985282171e-01,1.226319581094741651e-01
8.900000000000000133e-01,-4.969196096148510988e-01,-4.969196133900322665e-01,-4.969199871325413187e-01,-4.969573584077702777e-01,-5.006645177243927991e-01,2.902450648987547899e-02
9.000000000000000222e-01,-5.589073507394812790e-01,-5.589073549271585950e-01,-5.589077695067643514e-01,-5.589492243562654838e-01,-5.630633806185063595e-01,-6.274427022484507788e-02
9.100000000000000311e-01,-6.213474747181705338e-01,-6.213474793164410759e-01,-6.213479345447660007e-01,-6.213934541158983027e-01,-6.259125725642500360e-01,-1.524769488878444657e-01
9.200000000000000400e-01,-6.841817724311807236e-01,-6.841817774355792858e-01,-6.841822728705596601e-01,-6.842318129391526949e-01,-6.891512915292904440e-01,-2.400491399045742713e-01
