t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
1.400000000000000133e-01,5.590135880299472726e-01,5.590135966690014113e-01,5.590144519352637786e-01,5.590999775911412728e-01,5.676427748838730469e-01,9.769875830586080001e-01
1.499999999999999944e-01,5.544151843064119012e-01,5.544151928361966686e-01,5.544160372848099261e-01,5.545004812644184211e-01,5.629360083671779424e-01,9.794735177839415385e-01
1.600000000000000033e-01,5.495086401012078126e-01,5.495086485148779065e-01,5.495094814681429352e-01,5.495927760028944675e-01,5.579142691048635250e-01,9.820715578977750049e-01
1.700000000000000122e-01,5.442958189848864370e-01,5.442958272757377758e-01,5.442966480699470422e-01,5.443787267896286197e-01,5.525795543622172845e-01,9.847682146032162853e-01
1.799999999999999933e-01,5.387787249645553667e-01,5.387787331260350809e-01,5.387795411124612910e-01,5.388603391441503243e-01,5.469340119796617383e-01,9.875486537339112081e-01
1.900000000000000022e-01,5.329595058799339036e-01,5.329595139056506614e-01,5.329603084515444067e-01,5.330397625194102096e-01,5.409799439446698610e-01,9.903966288338585944e-01
2.000000000000000111e-01,5.268404568883636729e-01,5.268404647720974499e-01,5.268412452616919595e-01,5.269192937874993543e-01,5.347198100306822521e-01,9.932944171132926936e-01
2.099999999999999922e-01,5.204240240172635090e-01,5.204240317529762461e-01,5.204247975884973565e-01,5.205013807926082148e-01,5.281562314760791521e-01,9.962227592458480219e-01
2.200000000000000011e-01,5.137128077644480539e-01,5.137128153462935387e-01,5.137135659489708850e-01,5.137886259515640486e-01,5.212919946752128109e-01,9.991608050545359720e-01
2.300000000000000100e-01,5.067095667259551295e-01,5.067095741482894322e-01,5.067103089593671950e-01,5.067837898815150677e-01,5.141300548565121975e-01,1.002086065163264594e+00
2.399999999999999911e-01,4.994172212214643691e-01,4.994172284788558347e-01,4.994179469605974919e-01,4.994897950248124996e-01,5.066735397213377734e-01,1.004974370123365546e+00
